timestamp,detection_id,attack_type,link_id,detection_rate,latency_ms,false_positive_rate,DE_confidence,BP_score,mhv_confidence,tm_decision,modules_involved,evidence,action_taken,run_id,correlated_event_id,decoy_link_hit,detection_source
2026-01-25T15:50:22.250094,det_00001,link_forgery,00:00:00:00:00:14:25-00:00:00:00:00:11:4,99.7,9.9,1.6,0.96,0.20,0.00,0.89,DE,Behavioral anomaly detected: link_forgery,rate_limit,1,attack_000001,NO,BEHAVIORAL_ANALYSIS
2026-01-25T15:50:15.848013,det_00002,link_forgery,00:00:00:00:00:14:55-00:00:00:00:00:0c:56,99.7,4.8,1.8,1.00,0.20,0.00,0.93,DE,Decoy link hit detected from 00:00:00:00:00:14 to 00:00:00:00:00:0c,immediate_quarantine,1,attack_000002,YES,DECOY_LINK_HIT
2026-01-25T15:50:14.955195,det_00003,link_forgery,00:00:00:00:00:0d:52-00:00:00:00:00:0c:64,99.7,5.0,2.1,1.00,0.20,0.00,0.87,DE,Decoy link hit detected from 00:00:00:00:00:0d to 00:00:00:00:00:0c,immediate_quarantine,1,attack_000003,YES,DECOY_LINK_HIT
2026-01-25T15:50:25.540141,det_00004,link_forgery,00:00:00:00:00:10:47-00:00:00:00:00:11:37,99.7,11.0,1.7,0.98,0.20,0.00,0.86,DE,Behavioral anomaly detected: link_forgery,quarantine_link,1,attack_000004,NO,BEHAVIORAL_ANALYSIS
2026-01-25T15:50:35.083952,det_00005,link_forgery,00:00:00:00:00:05:3-00:00:00:00:00:12:6,99.7,8.8,2.0,0.92,0.20,0.00,0.88,DE,Behavioral anomaly detected: link_forgery,alert_only,1,attack_000005,NO,BEHAVIORAL_ANALYSIS
2026-01-25T15:50:34.887498,det_00006,link_forgery,00:00:00:00:00:11:36-00:00:00:00:00:0a:26,99.7,5.3,1.7,1.00,0.20,0.00,0.92,DE,Decoy link hit detected from 00:00:00:00:00:11 to 00:00:00:00:00:0a,immediate_quarantine,1,attack_000006,YES,DECOY_LINK_HIT
2026-01-25T15:51:00.093341,det_00007,link_forgery,00:00:00:00:00:05:46-00:00:00:00:00:0a:5,99.7,9.3,1.5,0.92,0.20,0.00,0.85,DE,Behavioral anomaly detected: link_forgery,quarantine_link,1,attack_000007,NO,BEHAVIORAL_ANALYSIS
2026-01-25T15:50:52.403799,det_00008,link_forgery,00:00:00:00:00:03:7-00:00:00:00:00:0f:4,99.7,6.0,1.8,0.92,0.20,0.00,0.96,DE,Behavioral anomaly detected: link_forgery,quarantine_link,1,attack_000008,NO,BEHAVIORAL_ANALYSIS
2026-01-25T15:50:47.687961,det_00009,link_forgery,00:00:00:00:00:06:35-00:00:00:00:00:02:25,99.7,10.6,1.9,1.00,0.20,0.00,0.88,DE,Behavioral anomaly detected: link_forgery,quarantine_link,1,attack_000009,NO,BEHAVIORAL_ANALYSIS
2026-01-25T15:51:19.173537,det_00010,link_forgery,00:00:00:00:00:05:34-00:00:00:00:00:0c:43,99.7,18.2,2.1,1.00,0.20,0.00,0.93,DE,Behavioral anomaly detected: link_forgery,rate_limit,1,attack_000010,NO,BEHAVIORAL_ANALYSIS
